G5V,('46.982901', '-70.558242')
K9J,('44.2994332', '-78.3228214')
E2S,('45.3328727', '-65.7498157')
B1C,('45.9858932', '-59.9928314')
V6P,('49.22695', '-123.152269')
H9A,('45.494172', '-73.835986')
N2E,('43.410758', '-80.494561')
E1V,('47.000657', '-65.56522')
V8Z,('48.450487', '-123.377853')
H7P,('45.571819', '-73.799748')
K2B,('45.361818', '-75.794561')
V1W,('49.816874', '-119.485914')
T7X,('53.553338', '-113.897997')
K2G,('45.2847232', '-75.7098346')
J4Y,('45.437021', '-73.46113')
Y1A,('60.605219', '-134.975107')
H3R,('45.508053', '-73.66024')
T8B,('53.4827923', '-113.2955565')
L8L,('43.252659', '-79.837851')
T6C,('53.52604', '-113.44909')
J5Z,('45.754737', '-73.466855')
K8A,('45.824434', '-77.128971')
G6L,('46.175058', '-71.874684')
T4N,('52.131105', '-113.94817')
N2A,('43.444988', '-80.422292')
J7V,('45.401539', '-74.042517')
V8P,('48.455319', '-123.328748')
L8J,('43.201986', '-79.71893')
J9V,('47.3356192', '-79.4395079')
V2B,('50.684659', '-120.352356')
N2L,('43.468237', '-80.559539')
J2J,('45.384718', '-72.73941')
L3T,('43.803824', '-79.405423')
N9V,('42.140841', '-83.11057')
N5P,('42.7848725', '-81.202061')
T9K,('56.759436', '-111.601895')
L4S,('43.895137', '-79.397578')
S0H,('50.871922', '-106.290175')
A1X,('47.510694', '-52.980129')
J4V,('45.488493', '-73.484806')
H4S,('45.503813', '-73.736179')
L4W,('43.617192', '-79.622865')
T3A,('51.09919', '-114.163473')
E5G,('44.7879609', '-66.7776056')
S7L,('52.1430228', '-106.7217409')
L1P,('43.90895', '-78.97587')
N2H,('43.4621856', '-80.4966674')
H4R,('45.5068053', '-73.6947599')
E7H,('46.805886', '-67.72369')
R5H,('49.666706', '-96.64795')
K9H,('44.316548', '-78.330776')
H7T,('45.564619', '-73.755095')
R8N,('55.746828', '-97.845028')
S6H,('50.3963024', '-105.5347513')
P3C,('46.477566', '-81.031466')
L6B,('43.902522', '-79.211266')
B1S,('46.112368', '-60.211764')
S4X,('50.4864465', '-104.665766')
H9C,('45.500977', '-73.868342')
L7L,('43.382956', '-79.747718')
S4S,('50.416322', '-104.62233')
K1K,('45.448859', '-75.6262')
L4B,('43.858365', '-79.403948')
J2C,('45.900672', '-72.511048')
E3B,('45.963095', '-66.66552')
V8Y,('48.504472', '-123.370006')
T4E,('51.293466', '-113.990106')
V1X,('49.9064028', '-119.3930479')
T1A,('50.021547', '-110.676052')
G1P,('46.803177', '-71.313801')
N5R,('42.759531', '-81.157628')
N8H,('42.053129', '-82.599687')
R2R,('49.926696', '-97.215148')
G5B,('50.023342', '-66.896018')
N5Y,('43.008132', '-81.235361')
V3K,('49.246842', '-122.837946')
L9R,('44.1614635', '-79.8513816')
M1V,('43.798445', '-79.273375')
J8N,('45.66601', '-75.80609')
L8V,('43.2216705', '-79.8491695')
N3C,('43.423725', '-80.303921')
J5J,('45.82222', '-73.942286')
T6E,('53.513861', '-113.443119')
T2W,('50.959556', '-114.098705')
P3B,('46.500187', '-80.926873')
V7L,('49.311469', '-123.05747')
J6W,('45.698249', '-73.648681')
G5Y,('46.1382599', '-70.6957451')
N1M,('43.69896', '-80.366408')
E4C,('45.807138', '-65.965773')
T2K,('51.102653', '-114.057329')
V1A,('49.693794', '-115.987229')
R2X,('49.923655', '-97.167074')
L3X,('44.034594', '-79.480505')
L9M,('44.7968279', '-79.9448889')
J1A,('45.137623', '-71.810086')
J3H,('45.5343258', '-73.189067')
J7P,('45.574989', '-73.875772')
S7N,('52.129622', '-106.599006')
G7A,('46.7188794', '-71.2986402')
V7C,('49.153917', '-123.191842')
J3L,('45.4409443', '-73.3420847')
E3L,('45.193294', '-67.269395')
B2T,('44.8180582', '-63.6119749')
B2N,('45.351293', '-63.28997')
J5N,('45.7392942', '-73.8256324')
S7K,('52.116875', '-106.660613')
N8R,('42.296696', '-82.916745')
E8N,('47.759233', '-65.171227')
N7V,('43.010938', '-82.377919')
